x;y
[46.0, 13.0, -1.0, 0.0, 0.0, 3406.0, 1.0, 3.0, 0.0];0
[30.0, 4.0, 0.0, 0.0, 0.0, -3.0, 1.0, 0.0, 0.0];0
[51.0, 0.0, 0.0, 0.0, 0.0, -11.0, 1.0, 2.0, 0.0];0
[28.0, 5.0, 0.0, 1.0, 1.0, 5.0, 1.0, 0.0, 0.0];1
[25.0, 1.0, -1.0, 1.0, 1.0, 1633.0, 1.0, 5.0, 0.0];0
[22.0, 1.0, -1.0, 1.0, 1.0, 14.0, 1.0, 2.0, 0.0];0
[29.0, 1.0, -1.0, 1.0, 1.0, 25.0, 0.0, 3.0, 0.0];0
[35.0, 3.0, -1.0, 0.0, 0.0, 271.0, 1.0, 0.0, 1.0];0
[52.0, 2.0, -1.0, 0.0, 0.0, 45.0, 1.0, 2.0, 0.0];0
[29.0, 2.0, -2.0, 0.0, 0.0, 50.0, 1.0, 2.0, 0.0];0
[39.0, 3.0, -1.0, 1.0, 1.0, 26.0, 1.0, 2.0, 0.0];0
[36.0, 3.0, -1.0, 1.0, 1.0, 1101.0, 1.0, 5.0, 1.0];0
[50.0, 4.0, -3.0, 0.0, 0.0, 50.0, 1.0, 0.0, 1.0];1
[33.0, 0.0, 0.0, 1.0, 1.0, 16.0, 1.0, 2.0, 0.0];1
[33.0, 6.0, -1.0, 1.0, 1.0, 45.0, 1.0, 0.0, 1.0];0
[52.0, 6.0, 0.0, 0.0, 0.0, 799.0, 0.0, 2.0, 1.0];1
[46.0, 0.0, -1.0, 0.0, 0.0, 13.0, 1.0, 2.0, 1.0];1
[25.0, 0.0, 0.0, 0.0, 0.0, 5.0, 1.0, 2.0, 0.0];0
[26.0, 1.0, -1.0, 1.0, 0.0, 27.0, 1.0, 0.0, 0.0];1
[52.0, 0.0, -1.0, 0.0, 0.0, 334.0, 1.0, 0.0, 0.0];0
[38.0, 2.0, 0.0, 0.0, 0.0, 678.0, 1.0, 2.0, 1.0];0
[28.0, 0.0, -1.0, 1.0, 1.0, 15.0, 0.0, 2.0, 0.0];0
[39.0, 6.0, -1.0, 1.0, 1.0, 857.0, 1.0, 0.0, 1.0];1
[53.0, 0.0, 0.0, 0.0, 0.0, 28.0, 0.0, 2.0, 0.0];0
[38.0, 0.0, -1.0, 0.0, 0.0, 64.0, 0.0, 2.0, 0.0];0
[42.0, 1.0, -1.0, 1.0, 1.0, 18.0, 1.0, 2.0, 1.0];0
[37.0, 26.0, -1.0, 1.0, 1.0, 45.0, 1.0, 0.0, 0.0];1
[33.0, 6.0, -1.0, 0.0, 0.0, 20.0, 1.0, 0.0, 0.0];1
[39.0, 9.0, -1.0, 1.0, 1.0, 27.0, 1.0, 2.0, 0.0];1
[20.0, 0.0, -1.0, 1.0, 1.0, 26.0, 1.0, 5.0, 0.0];1
[41.0, 0.0, -1.0, 0.0, 0.0, 95.0, 1.0, 2.0, 0.0];0
[42.0, 5.0, -1.0, 0.0, 0.0, 747.0, 1.0, 2.0, 0.0];0
[28.0, 11.0, -1.0, 1.0, 0.0, 26.0, 1.0, 2.0, 0.0];1
[37.0, 0.0, -1.0, 0.0, 0.0, 457.0, 1.0, 2.0, 0.0];0
[29.0, 0.0, -1.0, 1.0, 1.0, 14.0, 1.0, 0.0, 0.0];1
[23.0, 1.0, 0.0, 1.0, 1.0, 23.0, 1.0, 0.0, 0.0];1
[49.0, 2.0, -1.0, 0.0, 0.0, 31.0, 1.0, 2.0, 1.0];0
[37.0, 3.0, -1.0, 0.0, 0.0, 1942.0, 1.0, 0.0, 1.0];0
[49.0, 5.0, -1.0, 1.0, 1.0, 94.0, 1.0, 2.0, 0.0];1
[57.0, 0.0, -3.0, 0.0, 0.0, 45.0, 1.0, 2.0, 1.0];0
[38.0, 0.0, -1.0, 0.0, 0.0, 239.0, 1.0, 0.0, 0.0];0
[27.0, 1.0, -1.0, 0.0, 0.0, 192.0, 1.0, 0.0, 0.0];0
[22.0, 0.0, -1.0, 1.0, 1.0, 31.0, 1.0, 5.0, 0.0];0
[53.0, 1.0, -1.0, 0.0, 0.0, 23.0, 1.0, 2.0, 1.0];0
[25.0, 1.0, 0.0, 0.0, 0.0, 1014.0, 1.0, 2.0, 1.0];0
[35.0, 8.0, -1.0, 0.0, 0.0, 216.0, 1.0, 0.0, 1.0];1
[20.0, 3.0, -1.0, 1.0, 1.0, 25.0, 1.0, 5.0, 1.0];0
[34.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0];0
[43.0, 0.0, 0.0, 0.0, 0.0, -3.0, 0.0, 0.0, 0.0];1
[22.0, 1.0, -4.0, 0.0, 0.0, 26.0, 1.0, 0.0, 0.0];0
[30.0, 1.0, -1.0, 0.0, 0.0, 48.0, 0.0, 0.0, 1.0];0
[20.0, 1.0, -1.0, 1.0, 1.0, 21.0, 1.0, 0.0, 1.0];1
[37.0, 3.0, 0.0, 0.0, 0.0, 6.0, 1.0, 3.0, 1.0];0
[30.0, 4.0, -3.0, 1.0, 1.0, 20.0, 1.0, 2.0, 1.0];1
[34.0, 1.0, -1.0, 0.0, 0.0, 26.0, 1.0, 0.0, 0.0];0
[27.0, 9.0, -1.0, 1.0, 1.0, 19195.0, 1.0, 0.0, 0.0];1
[28.0, 9.0, -1.0, 1.0, 1.0, 1040.0, 1.0, 0.0, 0.0];1
[25.0, 5.0, -1.0, 1.0, 1.0, 3720.0, 1.0, 0.0, 0.0];1
[56.0, 7.0, -1.0, 1.0, 1.0, 4661.0, 1.0, 2.0, 0.0];1
[23.0, 4.0, -1.0, 1.0, 1.0, 22.0, 1.0, 0.0, 0.0];1
[29.0, 8.0, -1.0, 1.0, 1.0, 333.0, 1.0, 0.0, 0.0];1
[21.0, 0.0, 0.0, 1.0, 1.0, 6.0, 1.0, 3.0, 0.0];1
[25.0, 7.0, -1.0, 0.0, 0.0, 435.0, 1.0, 0.0, 0.0];1
[48.0, 2.0, -1.0, 0.0, 0.0, 23.0, 1.0, 2.0, 0.0];0
[27.0, 1.0, 0.0, 0.0, 0.0, 167.0, 1.0, 0.0, 0.0];0
[25.0, 1.0, -1.0, 0.0, 0.0, 31.0, 1.0, 2.0, 0.0];0
[60.0, 13.0, -13.0, 0.0, 0.0, 23.0, 1.0, 0.0, 0.0];0
[53.0, 4.0, -1.0, 1.0, 1.0, 3.0, 0.0, 2.0, 0.0];0
[29.0, 6.0, -22.0, 1.0, 1.0, 529.0, 1.0, 0.0, 0.0];1
[35.0, 1.0, -1.0, 1.0, 0.0, 1540.0, 1.0, 0.0, 1.0];1
[19.0, 0.0, -1.0, 1.0, 1.0, 31.0, 0.0, 2.0, 0.0];0
[25.0, 2.0, -1.0, 0.0, 0.0, 23.0, 1.0, 0.0, 0.0];1
[27.0, 2.0, -1.0, 1.0, 1.0, 21.0, 1.0, 0.0, 1.0];0
[54.0, 11.0, -1.0, 0.0, 0.0, 3117.0, 1.0, 0.0, 0.0];1
[36.0, 0.0, -1.0, 0.0, 0.0, 170.0, 1.0, 5.0, 0.0];0
[27.0, 1.0, -1.0, 0.0, 0.0, 23.0, 1.0, 0.0, 1.0];1
[27.0, 0.0, -1.0, 0.0, 0.0, 26.0, 0.0, 2.0, 0.0];0
[22.0, 1.0, -1.0, 1.0, 1.0, 14.0, 1.0, 2.0, 0.0];1
[24.0, 0.0, -1.0, 0.0, 0.0, 571.0, 0.0, 2.0, 1.0];1
[30.0, 1.0, -1.0, 0.0, 0.0, 22.0, 1.0, 2.0, 0.0];0
[53.0, 9.0, -1.0, 1.0, 1.0, 2832.0, 1.0, 2.0, 0.0];0
[79.0, 1.0, -22.0, 0.0, 0.0, 27.0, 1.0, 2.0, 1.0];0
[47.0, 0.0, -6.0, 1.0, 1.0, 100.0, 0.0, 2.0, 1.0];0
[21.0, 1.0, -1.0, 1.0, 1.0, 19.0, 1.0, 5.0, 0.0];0
[23.0, 6.0, 0.0, 1.0, 1.0, 142.0, 1.0, 2.0, 0.0];1
[49.0, 3.0, -1.0, 0.0, 0.0, 22.0, 1.0, 2.0, 0.0];0
[27.0, 11.0, -1.0, 0.0, 0.0, 116.0, 1.0, 0.0, 0.0];1
[28.0, 2.0, -1.0, 1.0, 0.0, 3002.0, 1.0, 0.0, 0.0];0
[26.0, 2.0, 0.0, 0.0, 0.0, -5.0, 1.0, 2.0, 0.0];1
[30.0, 0.0, 0.0, 0.0, 0.0, 92.0, 1.0, 0.0, 0.0];0
[62.0, 0.0, -1.0, 0.0, 0.0, 21.0, 1.0, 2.0, 0.0];0
[49.0, 2.0, 0.0, 1.0, 1.0, 5.0, 0.0, 2.0, 1.0];0
[26.0, 9.0, -1.0, 1.0, 1.0, 50.0, 1.0, 0.0, 0.0];1
[27.0, 0.0, -1.0, 1.0, 1.0, 24.0, 1.0, 2.0, 0.0];0
[31.0, 13.0, -1.0, 1.0, 1.0, 16.0, 1.0, 0.0, 1.0];1
[48.0, 0.0, -1.0, 0.0, 0.0, 71.0, 1.0, 1.0, 0.0];0
[45.0, 0.0, -1.0, 1.0, 1.0, 23.0, 0.0, 2.0, 0.0];1
[21.0, 1.0, -1.0, 0.0, 0.0, 309.0, 1.0, 2.0, 0.0];1
[23.0, 0.0, -1.0, 0.0, 0.0, 19.0, 0.0, 0.0, 1.0];0
[28.0, 3.0, -1.0, 1.0, 1.0, 889.0, 1.0, 2.0, 0.0];1
[45.0, 0.0, 0.0, 0.0, 0.0, 34.0, 1.0, 5.0, 0.0];0
[21.0, 1.0, -2.0, 0.0, 0.0, 21.0, 1.0, 0.0, 0.0];1
[26.0, 0.0, 0.0, 1.0, 0.0, 10.0, 1.0, 0.0, 1.0];1
[32.0, 0.0, -1.0, 0.0, 0.0, 26.0, 1.0, 5.0, 0.0];0
[58.0, 2.0, -9.0, 0.0, 0.0, 116.0, 1.0, 2.0, 0.0];0
[24.0, 0.0, -1.0, 1.0, 1.0, 24.0, 1.0, 2.0, 1.0];1
[33.0, 0.0, -1.0, 0.0, 0.0, 18.0, 0.0, 5.0, 0.0];0
[25.0, 1.0, -1.0, 0.0, 0.0, 23.0, 1.0, 0.0, 0.0];0
[39.0, 0.0, -1.0, 0.0, 0.0, 1301.0, 1.0, 2.0, 0.0];0
[48.0, 1.0, 0.0, 0.0, 0.0, 20.0, 1.0, 2.0, 0.0];0
[47.0, 4.0, -1.0, 1.0, 1.0, 1543.0, 1.0, 0.0, 0.0];1
[45.0, 13.0, -1.0, 1.0, 1.0, 147.0, 1.0, 0.0, 1.0];1
[52.0, 0.0, -1.0, 1.0, 1.0, 118.0, 1.0, 0.0, 0.0];1
[29.0, 9.0, -1.0, 1.0, 1.0, 45.0, 1.0, 2.0, 0.0];1
[47.0, 2.0, 0.0, 1.0, 1.0, 49.0, 1.0, 2.0, 0.0];1
[26.0, 0.0, -1.0, 0.0, 0.0, 13.0, 0.0, 0.0, 1.0];0
[23.0, 2.0, -20.0, 0.0, 0.0, 192.0, 1.0, 2.0, 0.0];1
[32.0, 10.0, -1.0, 1.0, 1.0, 16.0, 1.0, 0.0, 0.0];1
[37.0, 13.0, -1.0, 1.0, 0.0, 39.0, 0.0, 0.0, 0.0];1
[27.0, 9.0, -1.0, 1.0, 1.0, 24.0, 1.0, 0.0, 0.0];1
[40.0, 4.0, 0.0, 0.0, 0.0, 25.0, 1.0, 2.0, 1.0];0
[20.0, 3.0, -1.0, 1.0, 1.0, 507.0, 1.0, 0.0, 0.0];1
[38.0, 16.0, -1.0, 1.0, 1.0, 5805.0, 1.0, 0.0, 0.0];1
[26.0, 6.0, 0.0, 0.0, 0.0, 247.0, 1.0, 0.0, 1.0];1
[57.0, 0.0, -1.0, 0.0, 0.0, 28.0, 0.0, 2.0, 1.0];0
[21.0, 1.0, -1.0, 0.0, 0.0, 46.0, 1.0, 0.0, 0.0];1
[33.0, 3.0, 0.0, 1.0, 1.0, 117.0, 0.0, 0.0, 1.0];0
[36.0, 1.0, -1.0, 0.0, 0.0, 21.0, 0.0, 5.0, 1.0];0
[47.0, 6.0, 0.0, 0.0, 0.0, 122.0, 1.0, 0.0, 0.0];0
[24.0, 1.0, -1.0, 1.0, 1.0, 35.0, 1.0, 0.0, 0.0];0
[22.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0];1
[66.0, 33.0, 0.0, 1.0, 1.0, 327.0, 1.0, 0.0, 0.0];1
[41.0, 19.0, -1.0, 1.0, 1.0, 1031.0, 1.0, 3.0, 0.0];1
[40.0, 4.0, -1.0, 1.0, 1.0, 54.0, 1.0, 5.0, 1.0];0
[26.0, 10.0, 7.0, 1.0, 1.0, 7.0, 1.0, 2.0, 0.0];1
[45.0, 2.0, -1.0, 0.0, 0.0, 691.0, 1.0, 0.0, 1.0];1
[62.0, 0.0, -1.0, 0.0, 0.0, 94.0, 0.0, 2.0, 1.0];0
[23.0, 3.0, 0.0, 1.0, 1.0, 6.0, 1.0, 0.0, 0.0];1
[27.0, 0.0, -1.0, 1.0, 1.0, 41.0, 1.0, 2.0, 0.0];1
[41.0, 7.0, -2.0, 1.0, 0.0, 40.0, 1.0, 0.0, 1.0];0
[33.0, 8.0, -1.0, 1.0, 1.0, 18.0, 1.0, 0.0, 1.0];1
[53.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 2.0, 1.0];0
[32.0, 2.0, -1.0, 0.0, 0.0, 40.0, 1.0, 0.0, 1.0];0
[28.0, 4.0, -1.0, 0.0, 0.0, 717.0, 1.0, 0.0, 0.0];1
[35.0, 1.0, -1.0, 0.0, 0.0, 38.0, 1.0, 0.0, 1.0];1
[41.0, 0.0, -1.0, 0.0, 0.0, 32.0, 1.0, 2.0, 0.0];0
[29.0, 2.0, -1.0, 0.0, 0.0, 17.0, 1.0, 0.0, 1.0];0
[64.0, 13.0, -28.0, 0.0, 0.0, 27.0, 1.0, 0.0, 1.0];1
[40.0, 0.0, -1.0, 1.0, 1.0, 717.0, 1.0, 2.0, 1.0];1
[51.0, 0.0, -1.0, 1.0, 1.0, 26.0, 1.0, 5.0, 0.0];0
[28.0, 2.0, -1.0, 0.0, 0.0, 315.0, 1.0, 2.0, 1.0];0
[29.0, 6.0, -3.0, 1.0, 1.0, 19.0, 1.0, 2.0, 0.0];1
[54.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 3.0, 1.0];0
[46.0, 2.0, -1.0, 0.0, 0.0, 22.0, 1.0, 0.0, 0.0];1
[28.0, 0.0, 0.0, 0.0, 0.0, 22.0, 0.0, 0.0, 1.0];0
[55.0, 1.0, -1.0, 0.0, 0.0, 222.0, 1.0, 0.0, 0.0];0
[22.0, 0.0, -1.0, 0.0, 0.0, 1390.0, 1.0, 2.0, 0.0];1
[34.0, 3.0, -6.0, 0.0, 0.0, 126.0, 1.0, 3.0, 1.0];0
[39.0, 1.0, -1.0, 0.0, 0.0, 2565.0, 0.0, 2.0, 0.0];0
[25.0, 0.0, -1.0, 0.0, 0.0, 26.0, 0.0, 2.0, 0.0];0
[26.0, 9.0, 0.0, 1.0, 1.0, 30.0, 1.0, 2.0, 1.0];0
[29.0, 3.0, -1.0, 1.0, 1.0, 27.0, 1.0, 0.0, 1.0];0
[30.0, 6.0, -1.0, 1.0, 1.0, 427.0, 1.0, 5.0, 0.0];1
[24.0, 7.0, -1.0, 0.0, 0.0, 27.0, 0.0, 2.0, 1.0];1
[25.0, 2.0, -1.0, 1.0, 1.0, 1199.0, 1.0, 0.0, 0.0];1
[39.0, 4.0, -2.0, 1.0, 1.0, 27.0, 0.0, 2.0, 0.0];0
[24.0, 2.0, -1.0, 1.0, 1.0, 240.0, 1.0, 2.0, 0.0];1
[37.0, 4.0, -18.0, 1.0, 1.0, 22.0, 1.0, 2.0, 1.0];1
[31.0, 0.0, -1.0, 0.0, 0.0, 23.0, 1.0, 0.0, 1.0];0
[24.0, 6.0, -1.0, 1.0, 1.0, 5252.0, 1.0, 3.0, 0.0];1
[63.0, 1.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0];0
[44.0, 0.0, -1.0, 1.0, 1.0, 214.0, 1.0, 2.0, 0.0];0
[26.0, 10.0, -1.0, 1.0, 1.0, 30.0, 1.0, 0.0, 0.0];1
[47.0, 5.0, -1.0, 0.0, 0.0, 51.0, 1.0, 0.0, 0.0];1
[29.0, 2.0, -1.0, 1.0, 1.0, 213.0, 0.0, 2.0, 0.0];1
[22.0, 0.0, -1.0, 1.0, 1.0, 27.0, 1.0, 0.0, 1.0];0
[34.0, 1.0, -1.0, 0.0, 0.0, 52.0, 0.0, 0.0, 0.0];0
[34.0, 2.0, -1.0, 0.0, 0.0, 30.0, 1.0, 5.0, 1.0];0
[22.0, 4.0, -12.0, 0.0, 0.0, 20.0, 1.0, 0.0, 1.0];1
[31.0, 5.0, -1.0, 1.0, 1.0, 27.0, 1.0, 2.0, 0.0];0
[19.0, 0.0, -1.0, 1.0, 1.0, 33.0, 0.0, 0.0, 1.0];0
[30.0, 0.0, -1.0, 0.0, 0.0, 30.0, 1.0, 5.0, 0.0];0
[38.0, 0.0, -2.0, 0.0, 0.0, 30.0, 1.0, 5.0, 1.0];0
[32.0, 0.0, -1.0, 0.0, 0.0, 23.0, 0.0, 0.0, 0.0];0
[56.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0];0
[20.0, 5.0, -1.0, 1.0, 1.0, 48.0, 1.0, 0.0, 0.0];1
[43.0, 1.0, -3.0, 0.0, 0.0, 22.0, 1.0, 5.0, 0.0];0
[26.0, 0.0, 0.0, 0.0, 0.0, 5.0, 1.0, 2.0, 0.0];0
[24.0, 3.0, -1.0, 1.0, 1.0, 23.0, 1.0, 0.0, 0.0];0
[48.0, 0.0, -1.0, 0.0, 0.0, 29.0, 0.0, 2.0, 0.0];0
[54.0, 21.0, -1.0, 0.0, 0.0, 23.0, 1.0, 0.0, 0.0];1
[28.0, 2.0, 0.0, 1.0, 1.0, 1017.0, 1.0, 2.0, 0.0];0
[27.0, 2.0, -1.0, 0.0, 0.0, 502.0, 1.0, 0.0, 0.0];1
[28.0, 2.0, -1.0, 1.0, 1.0, 18.0, 1.0, 0.0, 0.0];1
[43.0, 3.0, -1.0, 0.0, 0.0, 24.0, 1.0, 5.0, 0.0];0
[50.0, 0.0, 0.0, 0.0, 0.0, 53.0, 1.0, 2.0, 0.0];0
[25.0, 1.0, 0.0, 0.0, 0.0, 6.0, 1.0, 0.0, 1.0];0
[54.0, 10.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0];0
[36.0, 11.0, -1.0, 1.0, 1.0, 864.0, 1.0, 0.0, 0.0];1
[54.0, 0.0, -1.0, 0.0, 0.0, 24.0, 1.0, 0.0, 1.0];0
[26.0, 1.0, -1.0, 0.0, 0.0, 40.0, 1.0, 3.0, 1.0];0
[28.0, 10.0, -1.0, 1.0, 1.0, 5848.0, 1.0, 0.0, 0.0];1
[30.0, 12.0, 0.0, 1.0, 1.0, -2.0, 1.0, 0.0, 0.0];1
[40.0, 0.0, 0.0, 1.0, 1.0, 103.0, 1.0, 0.0, 0.0];1
[31.0, 2.0, -1.0, 0.0, 0.0, 49.0, 1.0, 0.0, 1.0];0
[49.0, 4.0, -11.0, 0.0, 0.0, 136.0, 1.0, 2.0, 0.0];0
[42.0, 1.0, -3.0, 0.0, 0.0, 22.0, 1.0, 3.0, 1.0];0
[31.0, 0.0, 0.0, 0.0, 0.0, -4.0, 1.0, 2.0, 0.0];1
[31.0, 1.0, -14.0, 0.0, 0.0, 336.0, 1.0, 0.0, 0.0];0
